Date,Series_Complete_Cumulative,Series_Complete_Daily
11/11/2022,228381285,46073
11/12/2021,199524689,199911
11/12/2022,228403147,21862
11/13/2021,199628320,103631
11/13/2022,228415707,12560
11/14/2021,199689487,61167
11/14/2022,228455489,39782
11/15/2021,199858253,168766
11/15/2022,228496303,40814
11/16/2021,200026559,168306
11/16/2022,228537885,41582
11/17/2021,200200021,173462
11/17/2022,228578570,40685
11/18/2021,200372514,172493
11/18/2022,228623683,45113
11/19/2021,200569168,196654
11/19/2022,228644795,21112
11/20/2021,200671170,102002
11/20/2022,228656952,12157
11/21/2021,200732420,61250
11/21/2022,228694108,37156
11/22/2021,200905596,173176
11/22/2022,228729861,35753
11/23/2021,201071884,166288
11/23/2022,228760757,30896
11/24/2021,201228032,156148
11/24/2022,228761347,590
11/25/2021,201233640,5608
11/25/2022,228780067,18720
11/26/2021,201413060,179420
11/26/2022,228795539,15472
11/27/2021,201616260,203200
11/27/2022,228805692,10153
11/28/2021,201767312,151052
11/28/2022,228833228,27536
11/29/2021,202135185,367873
11/29/2022,228862400,29172
11/30/2021,202533633,398448
11/30/2022,228900198,37798
12/01/2021,202953700,420067
12/01/2022,228933203,33005
12/02/2021,203354229,400529
12/02/2022,228970260,37057
12/03/2021,203854914,500685
12/03/2022,228987050,16790
12/04/2021,204317809,462895
12/04/2022,228996839,9789
12/05/2021,204510766,192957
12/05/2022,229025171,28332
12/06/2021,204841482,330716
12/06/2022,229054639,29468
12/07/2021,205188659,347177
12/07/2022,229085336,30697
12/08/2021,205546716,358057
12/08/2022,229116622,31286
12/09/2021,205891338,344622
12/09/2022,229150987,34365
12/10/2021,206296674,405336
12/10/2022,229167970,16983
12/11/2021,206639239,342565
12/11/2022,229178156,10186
12/12/2021,206770864,131625
12/12/2022,229207302,29146
12/13/2021,207054085,283221
12/13/2022,229236558,29256
12/14/2020,9833,164
12/14/2021,207346014,291929
12/14/2022,229265386,28828
12/15/2020,10161,328
12/15/2021,207611589,265575
12/15/2022,229291420,26034
12/16/2020,10679,518
12/16/2021,207783888,172299
12/16/2022,229321922,30502
12/17/2020,11505,826
12/17/2021,208040317,256429
12/17/2022,229338624,16702
12/18/2020,12831,1326
12/18/2021,208205032,164715
12/18/2022,229348598,9974
12/19/2020,13990,1159
12/19/2021,208287813,82781
12/19/2022,229376772,28174
12/20/2020,14813,823
12/20/2021,208517246,229433
12/20/2022,229404291,27519
12/21/2020,16487,1674
12/21/2021,208762583,245337
12/21/2022,229430255,25964
12/22/2020,19503,3016
12/22/2021,209004347,241764
12/22/2022,229451004,20749
12/23/2020,22769,3266
12/23/2021,209184233,179886
12/23/2022,229465338,14334
12/24/2020,24017,1248
12/24/2021,209241747,57514
12/24/2022,229469510,4172
12/25/2020,24155,138
12/25/2021,209242800,1053
12/25/2022,229469676,166
12/26/2020,25225,1070
12/26/2021,209327540,84740
12/26/2022,229479820,10144
12/27/2020,26034,809
12/27/2021,209560799,233259
12/27/2022,229504767,24947
12/28/2020,30521,4487
12/28/2021,209806691,245892
12/28/2022,229529051,24284
12/29/2020,36033,5512
12/29/2021,210047377,240686
12/29/2022,229553298,24247
12/30/2020,43704,7671
12/30/2021,210265156,217779
12/30/2022,229575525,22227
12/31/2020,47241,3537
12/31/2021,210360591,95435
12/31/2022,229580638,5113
